City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Nyaunglebin,MM,2021-10-14 20:43:47,17.95,96.7333,74.3,98,100,2.89
131,Pasvalys,LT,2021-10-14 20:43:48,56.0594,24.4036,45.72,81,99,11.27
132,Pitimbu,BR,2021-10-14 20:43:48,-7.4706,-34.8086,79.39,80,12,11.9
133,Chokurdakh,RU,2021-10-14 20:36:55,70.6333,147.9167,8.83,97,100,1.23
134,Tallahassee,US,2021-10-14 20:41:26,30.4383,-84.2807,89.1,62,40,3.0
135,Naze,JP,2021-10-14 20:36:30,28.3667,129.4833,74.88,83,22,7.14
136,San Patricio,US,2021-10-14 20:43:50,28.017,-97.5169,84.61,65,56,12.37
137,Taft,IR,2021-10-14 20:43:50,31.7471,54.2088,67.95,20,20,6.91
138,Petropavlovsk-Kamchatskiy,RU,2021-10-14 20:43:51,53.0452,158.6483,39.79,87,40,6.71
139,General Roca,AR,2021-10-14 20:37:54,-39.0333,-67.5833,61.2,15,92,31.65
140,Hobart,AU,2021-10-14 20:43:52,-42.8794,147.3294,58.01,95,75,1.99
141,Erzin,TR,2021-10-14 20:43:52,36.9559,36.2,74.12,53,0,3.02
142,Wolsztyn,PL,2021-10-14 20:43:53,52.1155,16.1171,52.38,91,100,12.75
143,Mokokchung,IN,2021-10-14 20:43:54,26.3333,94.5333,65.01,94,98,2.59
144,Verkhnyaya Maksakovka,RU,2021-10-14 20:43:54,61.635,50.9674,41.02,65,0,6.71
145,Igurubi,TZ,2021-10-14 20:43:55,-4.0,33.7,80.82,37,100,13.89
146,Mogadishu,SO,2021-10-14 20:35:42,2.0371,45.3438,78.03,80,47,15.17
147,Rawson,AR,2021-10-14 20:40:57,-43.3002,-65.1023,54.19,34,99,17.72
148,Mezen,RU,2021-10-14 20:43:56,65.8522,44.24,36.18,94,61,6.17
149,Jamestown,US,2021-10-14 20:40:17,42.097,-79.2353,79.02,70,40,3.0
150,Hithadhoo,MV,2021-10-14 20:35:18,-0.6,73.0833,83.12,77,100,25.28
