City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Norrkoping,SE,58.5942,16.1826,45.59,74,5,13.8,clear sky
226,Muros,ES,42.7762,-9.0603,63.84,82,33,6.96,scattered clouds
227,Bethanien,NA,-26.502,17.1583,58.71,47,0,16.24,clear sky
228,Gurupi,BR,-11.7292,-49.0686,89.15,47,79,9.15,broken clouds
229,Alakurtti,RU,66.9672,30.3491,28.63,91,100,8.99,overcast clouds
230,Neryungri,RU,56.6709,124.6491,32.41,97,100,7.11,light snow
231,Along,IN,28.1667,94.7667,69.67,99,98,0.6,overcast clouds
232,Lagoa,PT,39.05,-27.9833,68.4,70,100,8.39,overcast clouds
233,Roma,US,43.2128,-75.4557,73.44,62,1,5.75,clear sky
234,Karratha,AU,-20.7377,116.8463,76.01,55,0,4.56,light rain
235,Port Elizabeth,ZA,-33.918,25.5701,67.1,81,100,15.57,overcast clouds
236,Mahibadhoo,MV,3.7833,72.9667,82.4,69,12,9.26,few clouds
237,Bahia Honda,CU,22.9036,-83.1592,84.25,68,96,8.77,light rain
238,Krasnovishersk,RU,60.4078,57.082,30.69,94,100,11.77,light snow
239,Hami,CN,42.8,93.45,57.06,21,0,6.17,clear sky
240,Amga,RU,60.8953,131.9608,29.03,96,100,8.23,light snow
241,Lucapa,AO,-8.4192,20.7447,69.06,93,100,2.77,moderate rain
242,Kirakira,SB,-10.4544,161.9205,79.65,85,100,7.07,overcast clouds
243,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,74,100,6.06,overcast clouds
244,Tongliao,CN,43.6125,122.2653,37.0,51,0,7.49,clear sky
245,Dehloran,IR,32.6941,47.2679,75.45,24,0,4.5,clear sky
246,Moncao,PT,42.0789,-8.4808,63.75,84,28,3.38,scattered clouds
247,Peleduy,RU,59.6289,112.7406,32.9,93,100,6.78,overcast clouds
248,Honningsvag,NO,70.9821,25.9704,35.35,80,75,20.71,light shower snow
249,Goundam,ML,16.4145,-3.6708,89.8,16,8,9.44,clear sky
250,Sola,VU,-13.8833,167.55,79.54,78,99,4.5,overcast clouds
251,Komsomolskiy,UZ,40.4272,71.7189,54.32,50,100,6.91,overcast clouds
252,Dubai,AE,25.2582,55.3047,87.73,51,0,5.75,clear sky
253,Namibe,AO,-15.1961,12.1522,67.3,79,3,9.84,clear sky
254,Tomatlan,MX,19.9333,-105.25,90.03,59,12,6.06,few clouds
255,Meulaboh,ID,4.1363,96.1285,76.75,88,97,2.42,overcast clouds
256,Saskylakh,RU,71.9167,114.0833,7.79,97,94,6.44,overcast clouds
257,Monrovia,LR,6.3005,-10.7969,78.57,86,100,8.61,moderate rain
258,Lewistown,US,40.5992,-77.5714,77.77,50,1,10.36,haze
259,Sinop,TR,41.7711,34.8709,52.29,48,4,10.29,clear sky
260,Zemio,CF,5.0314,25.1361,68.36,96,100,1.79,overcast clouds
261,Sokolo,ML,14.7328,-6.1219,90.09,24,30,2.57,scattered clouds
262,Namatanai,PG,-3.6667,152.4333,78.39,84,81,5.64,light rain
263,Kodinsk,RU,58.6881,99.1844,33.06,90,93,4.05,overcast clouds
264,High Level,CA,58.5169,-117.136,42.13,51,0,7.7,clear sky
265,Ossora,RU,59.2353,163.0719,17.29,79,4,7.45,clear sky
266,Ngunguru,NZ,-35.6167,174.5,63.16,95,100,22.24,overcast clouds
267,Mozarlandia,BR,-14.7447,-50.5706,94.68,36,53,13.06,broken clouds
268,Udachnyy,RU,66.4167,112.4,19.99,93,87,8.59,overcast clouds
269,Vilyuysk,RU,63.7553,121.6247,35.73,89,66,10.83,broken clouds
270,Dong Hoi,VN,17.4833,106.6,73.99,93,100,12.64,overcast clouds
271,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,75,78,8.95,broken clouds
272,Bandarbeyla,SO,9.4942,50.8122,77.67,83,50,5.61,scattered clouds
273,Chapais,CA,49.7834,-74.8492,39.7,70,100,5.03,overcast clouds
274,Smulti,RO,45.9333,27.75,54.9,58,15,9.73,few clouds
275,Banepa,NP,27.6298,85.5214,62.92,94,75,4.61,broken clouds
276,Vanavara,RU,60.34,102.2797,31.69,92,47,5.23,scattered clouds
277,Saint-Pierre,RE,-21.3393,55.4781,71.29,72,40,5.75,scattered clouds
278,Kumluca,TR,36.3703,30.2869,67.87,59,0,5.17,clear sky
279,Caxito,AO,-8.5785,13.6643,77.18,80,95,6.62,overcast clouds
280,Salo,IT,45.6086,10.531,60.39,91,100,2.3,overcast clouds
281,Brae,GB,60.3964,-1.353,42.71,67,100,21.07,overcast clouds
282,Kyra,RU,49.5776,111.9753,30.04,80,1,2.3,clear sky
283,Nisia Floresta,BR,-6.0911,-35.2086,86.81,64,97,10.94,overcast clouds
284,Wundanyi,KE,-3.4019,38.364,62.51,72,14,6.04,few clouds
285,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,86.94,40,48,7.11,scattered clouds
286,Fortuna,US,40.5982,-124.1573,73.74,65,90,5.99,light rain
287,Ust-Ordynskiy,RU,52.805,104.7508,28.24,87,1,4.47,clear sky
288,Rexburg,US,43.826,-111.7897,63.43,44,1,3.44,clear sky
289,Ballesteros,PH,18.4126,121.5152,78.76,85,55,4.65,broken clouds
290,Amazar,RU,53.858,120.875,30.78,78,27,2.64,scattered clouds
291,Deputatskiy,RU,69.3,139.9,-1.79,99,100,3.4,overcast clouds
292,Ust-Uda,RU,54.1742,103.0304,33.37,84,0,3.47,clear sky
293,Axim,GH,4.8699,-2.2405,78.66,85,100,6.64,overcast clouds
294,Half Moon Bay,US,37.4636,-122.4286,75.38,85,75,13.8,broken clouds
295,Faanui,PF,-16.4833,-151.75,77.38,77,7,6.73,moderate rain
296,Nanortalik,GL,60.1432,-45.2371,41.4,41,100,7.61,overcast clouds
297,Yambio,SS,4.5721,28.3955,69.21,95,100,1.05,light rain
298,Xining,CN,36.6167,101.7667,40.26,77,100,1.25,overcast clouds
